index,fixed acidity,volatile acidity,citric acid,total sulfur dioxide,pH,sulphates,alcohol,quality
1592,6.8,0.21,0.74,111.0,3.13,0.41,10.7,6
1593,8.6,0.16,0.49,63.0,3.13,0.59,10.5,6
1594,7.0,0.29,0.49,136.0,2.95,0.4,9.4,6
1595,6.4,0.27,0.49,206.0,3.24,0.43,9.2,6
1596,6.6,0.55,0.01,122.0,3.15,0.3,11.9,5
1597,6.4,0.27,0.49,206.0,3.24,0.43,9.2,6
1598,6.3,0.24,0.74,108.0,3.27,0.39,9.9,6
1599,6.7,0.33,0.49,94.0,3.11,0.5,11.4,6
1600,7.0,0.29,0.49,136.0,2.95,0.4,9.4,6
1601,8.2,0.34,0.49,223.0,3.08,0.52,10.7,6
1602,5.6,0.39,0.24,77.0,3.28,0.36,12.7,5
1603,5.6,0.41,0.24,53.0,3.32,0.5,13.5,7
1604,6.7,0.41,0.01,137.0,3.24,0.35,9.5,5
1605,7.1,0.26,0.49,113.0,3.37,0.42,12.9,9
1606,7.5,0.32,0.49,109.0,3.07,0.46,12.5,6
1607,5.8,0.19,0.49,118.0,3.34,0.38,9.5,7
1608,6.9,0.27,0.49,235.0,2.98,0.47,8.6,5
1609,8.1,0.2,0.49,212.0,3.09,0.46,10.0,7
1610,7.5,0.32,0.49,109.0,3.07,0.46,12.5,6
1611,8.2,0.26,0.49,100.0,3.12,0.34,10.1,6
1612,7.8,0.26,0.49,87.0,3.03,0.32,11.3,7
1613,8.0,0.14,0.49,120.0,3.26,0.4,10.6,7
1614,8.0,0.29,0.49,131.0,3.14,0.34,10.8,5
1615,7.5,0.19,0.49,140.0,3.4,0.47,10.7,6
1616,6.9,0.34,0.49,206.0,3.09,0.4,9.0,6
1617,6.2,0.2,0.49,143.0,3.22,0.52,9.2,6
1618,6.4,0.37,0.49,243.0,3.14,0.48,8.5,6
1619,6.2,0.22,0.49,128.0,3.41,0.36,11.3,8
1620,7.8,0.26,0.49,87.0,3.03,0.32,11.3,7
1621,8.9,0.32,0.49,131.0,3.13,0.34,9.4,5
1622,6.5,0.44,0.49,169.0,3.11,0.37,8.7,6
1623,7.0,0.14,0.49,118.0,3.36,0.36,9.4,6
1624,9.0,0.17,0.49,131.0,3.09,0.51,10.5,7
1625,6.4,0.26,0.49,161.0,3.38,0.53,9.7,6
1626,9.0,0.22,0.49,195.0,3.31,0.44,10.2,6
1627,8.9,0.32,0.49,131.0,3.13,0.34,9.4,5
1628,8.2,0.2,0.49,108.0,3.19,0.35,11.5,6
1629,7.8,0.15,0.24,98.0,2.94,0.31,9.6,6
1630,6.9,0.25,0.24,121.0,3.23,0.7,11.4,5
1631,8.2,0.2,0.49,108.0,3.19,0.35,11.5,6
1632,7.1,0.28,0.49,111.0,3.41,0.58,12.2,8
1633,7.4,0.19,0.49,110.0,3.2,0.38,11.0,7
1634,8.3,0.25,0.49,228.0,3.03,0.52,9.2,6
1635,7.5,0.14,0.74,126.0,3.26,0.45,10.2,6
1636,7.8,0.49,0.49,149.0,3.21,0.33,10.0,5
1637,8.1,0.12,0.49,160.0,3.13,0.48,9.7,6
1638,7.6,0.47,0.49,220.0,2.96,0.51,9.2,5
1639,7.9,0.22,0.49,105.0,3.1,0.39,10.5,5
1640,7.8,0.49,0.49,149.0,3.21,0.33,10.0,5
1641,6.4,0.22,0.49,151.0,3.27,0.52,10.1,6
1642,7.3,0.19,0.49,134.0,3.42,0.36,9.1,7
1643,8.1,0.3,0.49,144.0,3.09,0.57,10.2,7
1644,7.3,0.19,0.49,134.0,3.42,0.36,9.1,7
1645,7.5,0.24,0.49,149.0,3.17,0.59,10.5,7
1646,6.4,0.22,0.49,151.0,3.27,0.52,10.1,6
1647,7.8,0.21,0.49,99.0,3.05,0.28,12.1,7
1648,7.1,0.3,0.49,100.0,3.4,0.59,10.2,5
1649,6.9,0.26,0.49,166.0,3.65,0.52,9.4,4
1650,7.6,0.31,0.49,131.0,3.08,0.67,12.8,7
1651,6.4,0.42,0.74,209.0,3.12,0.58,9.0,6
1652,8.2,0.29,0.49,118.0,3.24,0.36,10.9,4
1653,7.9,0.33,0.28,176.0,3.15,0.38,8.8,6
1654,6.6,0.46,0.49,184.0,3.11,0.38,9.0,5
1655,7.8,0.28,0.49,142.0,3.09,0.59,10.2,5
1656,5.8,0.15,0.49,98.0,3.19,0.48,9.2,5
1657,7.8,0.4,0.49,162.0,3.26,0.58,11.3,6
1658,6.6,0.31,0.49,220.0,3.12,0.45,8.8,5
1659,6.6,0.325,0.49,217.0,3.16,0.4,9.3,5
1660,6.6,0.27,0.49,217.0,3.17,0.45,9.4,6
1661,6.7,0.26,0.49,191.0,3.23,0.4,10.3,6
1662,6.7,0.21,0.49,114.0,2.92,0.42,10.8,7
1663,7.9,0.33,0.28,176.0,3.15,0.38,8.8,6
1664,8.1,0.28,0.46,177.0,3.27,0.58,9.0,4
1665,6.5,0.13,0.37,114.0,3.41,0.51,11.5,8
1666,7.8,0.445,0.56,84.0,3.25,0.43,10.8,5
1667,8.8,0.39,0.34,128.0,2.95,0.51,11.8,6
1668,7.9,0.18,0.33,72.0,3.12,0.38,10.5,7
1669,7.1,0.31,0.38,124.0,3.14,0.44,9.9,6
1670,7.8,0.24,0.18,160.0,3.2,0.56,9.8,6
1671,7.0,0.35,0.3,87.0,3.4,0.42,11.4,7
1672,6.6,0.26,0.31,168.0,3.2,0.38,9.3,5
1673,6.6,0.27,0.31,163.0,3.2,0.38,9.3,5
1674,6.8,0.22,0.29,188.0,3.3,0.44,10.3,6
1675,6.2,0.27,0.32,224.0,3.17,0.47,8.9,5
1676,7.0,0.35,0.3,87.0,3.4,0.42,11.4,7
1677,7.3,0.23,0.37,156.0,3.11,0.35,11.1,6
1678,6.2,0.3,0.2,170.0,3.36,0.45,10.4,6
1679,6.4,0.35,0.2,117.0,3.33,0.43,10.1,5
1680,7.6,0.32,0.34,197.0,3.22,0.55,9.0,5
1681,6.3,0.31,0.3,212.0,3.74,0.55,11.9,6
1682,7.2,0.25,0.28,205.0,3.12,0.38,9.0,7
1683,7.2,0.25,0.28,205.0,3.12,0.38,9.0,7
1684,7.3,0.26,0.33,195.0,3.06,0.44,9.1,7
1685,7.2,0.25,0.28,205.0,3.12,0.38,9.0,7
1686,7.4,0.26,0.37,147.0,3.46,0.72,10.0,5
1687,7.3,0.26,0.33,195.0,3.06,0.44,9.1,7
1688,6.7,0.25,0.26,216.0,3.55,0.63,9.4,3
1689,7.1,0.16,0.25,123.0,3.27,0.55,11.4,6
1690,9.0,0.43,0.3,175.0,3.11,0.45,9.7,4
1691,7.2,0.25,0.28,205.0,3.12,0.38,9.0,7
1692,7.0,0.24,0.3,213.0,3.28,0.49,11.8,6
1693,6.7,0.265,0.22,198.0,3.25,0.41,10.2,5
1694,7.7,0.12,0.32,150.0,3.37,0.42,9.2,6
1695,7.2,0.21,0.33,132.0,3.25,0.4,11.0,6
1696,8.5,0.32,0.36,190.0,3.08,0.31,10.0,6
1697,6.9,0.18,0.3,190.0,3.32,0.37,12.2,6
1698,7.0,0.24,0.3,213.0,3.28,0.49,11.8,6
1699,6.3,0.26,0.29,175.0,3.38,0.43,11.6,6
1700,6.7,0.26,0.3,121.0,3.44,0.61,10.2,6
1701,7.9,0.29,0.36,208.0,3.14,0.46,10.3,5
1702,6.5,0.27,0.19,114.0,3.25,0.35,8.6,4
1703,6.7,0.33,0.42,151.0,3.16,0.44,9.6,5
1704,6.7,0.31,0.42,148.0,3.16,0.45,9.6,5
1705,6.6,0.25,0.31,127.0,3.41,0.47,11.3,6
1706,6.4,0.24,0.22,157.0,3.41,0.55,9.9,6
1707,6.8,0.26,0.29,179.0,3.45,0.4,9.6,5
1708,7.0,0.61,0.26,161.0,3.36,0.6,10.6,4
1709,6.8,0.22,0.3,180.0,3.44,0.39,9.8,5
1710,8.1,0.31,0.24,67.0,3.08,0.47,10.5,5
1711,7.0,0.2,0.3,120.0,3.24,0.51,10.8,5
1712,7.9,0.18,0.37,178.0,3.22,0.51,10.0,6
1713,6.6,0.34,0.27,136.0,3.3,0.49,10.1,6
1714,6.8,0.3,0.24,116.0,3.07,0.48,9.4,5
1715,6.5,0.18,0.34,148.0,3.32,0.59,11.5,8
1716,7.0,0.21,0.31,108.0,3.26,0.5,10.8,6
1717,6.8,0.27,0.32,142.0,3.1,0.43,9.9,6
1718,9.3,0.2,0.33,178.0,3.16,0.43,9.0,4
1719,5.8,0.23,0.27,69.0,3.38,0.31,9.4,6
1720,7.6,0.2,0.39,180.0,3.46,0.44,10.8,7
1721,8.2,0.15,0.48,190.0,3.5,0.45,10.9,7
1722,7.5,0.4,1.0,148.0,3.24,0.38,12.0,6
1723,6.5,0.18,0.34,148.0,3.32,0.59,11.5,8
1724,7.0,0.13,0.3,122.0,3.47,0.42,10.5,6
1725,6.9,0.17,0.22,152.0,3.29,0.37,9.3,6
1726,7.0,0.3,0.32,97.0,3.23,0.44,11.8,6
1727,7.6,0.445,0.44,212.0,3.48,0.36,10.0,6
1728,6.8,0.3,0.24,116.0,3.07,0.48,9.4,5
1729,7.5,0.22,0.33,138.0,3.2,0.68,11.4,6
1730,9.2,0.23,0.3,99.0,2.94,0.3,10.4,6
1731,8.7,0.34,0.46,198.0,3.36,0.37,9.5,6
1732,6.6,0.545,0.04,111.0,3.14,0.32,11.9,5
1733,8.1,0.3,0.31,123.0,2.99,0.45,11.1,6
1734,6.9,0.16,0.3,185.0,3.39,0.38,9.6,6
1735,8.0,0.32,0.36,178.0,3.29,0.47,12.0,6
1736,6.1,0.22,0.23,104.0,3.14,0.42,8.7,5
1737,6.9,0.16,0.3,185.0,3.39,0.38,9.6,6
1738,7.5,0.15,0.38,101.0,3.24,0.44,10.0,5
1739,8.4,0.29,0.29,55.0,2.91,0.32,11.4,4
1740,6.6,0.37,0.47,150.0,3.14,0.45,9.6,6
1741,7.7,0.38,0.4,152.0,3.18,0.32,12.9,6
1742,6.3,0.25,0.23,142.0,3.14,0.35,9.7,6
1743,8.3,0.3,0.36,169.0,3.23,0.51,9.3,6
1744,6.6,0.22,0.58,136.0,3.1,0.3,9.1,5
1745,6.1,0.34,0.31,238.0,3.16,0.48,8.6,5
1746,7.5,0.22,0.29,87.0,3.14,0.42,9.9,5
1747,8.3,0.3,0.36,169.0,3.23,0.51,9.3,6
1748,8.0,0.27,0.24,102.0,3.28,0.42,10.9,5
1749,6.1,0.17,0.27,135.0,3.2,0.43,10.2,6
1750,7.4,0.18,0.3,174.0,3.11,0.57,9.7,6
1751,6.7,0.16,0.28,153.0,3.38,0.51,11.4,7
1752,6.1,0.255,0.44,197.0,3.24,0.54,9.5,6
1753,7.4,0.23,0.25,141.0,3.42,0.54,10.2,7
1754,6.4,0.16,0.28,93.0,3.31,0.43,11.1,6
1755,6.3,0.25,0.23,142.0,3.14,0.35,9.7,6
1756,6.7,0.27,0.25,202.0,3.22,0.43,9.3,5
1757,6.9,0.29,0.23,215.0,3.17,0.44,8.8,5
1758,9.6,0.21,0.28,53.0,2.8,0.46,10.6,5
1759,6.6,0.62,0.2,224.0,3.17,0.44,9.3,5
1760,6.4,0.28,0.19,181.0,3.31,0.35,10.2,6
1761,8.0,0.3,0.28,124.0,3.16,0.51,10.2,6
1762,6.4,0.17,0.27,98.0,3.46,0.42,11.0,7
1763,7.3,0.21,0.3,112.0,3.4,0.5,9.6,6
1764,6.7,0.27,0.25,202.0,3.22,0.43,9.3,5
1765,6.9,0.29,0.23,215.0,3.17,0.44,8.8,5
1766,6.6,0.32,0.26,209.0,3.17,0.45,8.8,5
1767,7.4,0.32,0.22,179.0,3.28,0.69,8.9,5
1768,6.6,0.37,0.07,144.0,3.17,0.38,10.0,5
1769,7.7,0.43,0.28,102.0,3.16,0.56,12.2,7
1770,7.8,0.39,0.26,181.0,3.04,0.42,10.9,6
1771,6.5,0.18,0.26,141.0,3.34,0.72,9.5,6
1772,7.8,0.4,0.26,178.0,3.04,0.43,10.9,6
1773,7.8,0.39,0.26,181.0,3.04,0.42,10.9,6
1774,6.9,0.19,0.28,99.0,3.16,0.4,10.8,6
1775,7.7,0.49,1.0,135.0,3.24,0.4,12.0,6
1776,6.6,0.25,0.35,163.0,3.56,0.47,9.8,5
1777,6.5,0.18,0.26,141.0,3.34,0.72,9.5,6
1778,6.4,0.15,0.36,150.0,3.42,0.69,11.0,8
1779,6.4,0.15,0.36,150.0,3.42,0.69,11.0,8
1780,8.4,0.17,0.31,150.0,3.24,0.38,9.8,5
1781,6.1,0.32,0.37,200.0,3.49,0.44,10.5,4
1782,8.5,0.21,0.26,142.0,3.05,0.37,11.4,6
1783,8.7,0.45,0.4,100.0,3.27,0.57,10.1,6
1784,6.7,0.24,0.29,127.0,3.33,0.46,11.6,7
1785,8.5,0.21,0.26,142.0,3.05,0.37,11.4,6
1786,7.4,0.33,0.26,115.0,3.07,0.52,11.8,7
1787,7.2,0.26,0.3,158.0,3.33,0.43,12.1,7
1788,8.2,0.36,0.29,122.0,3.16,0.34,12.0,5
1789,7.8,0.2,0.24,189.0,3.08,0.74,12.1,7
1790,9.4,0.16,0.3,176.0,3.15,0.46,9.1,5
1791,6.4,0.33,0.24,117.0,3.36,0.5,9.3,5
1792,7.8,0.22,0.36,153.0,3.2,0.53,10.4,6
1793,7.4,0.35,0.31,187.0,3.27,0.64,9.1,5
1794,6.6,0.37,0.24,120.0,3.32,0.54,9.4,5
1795,6.7,0.37,0.41,149.0,3.16,0.47,9.6,6
1796,7.1,0.37,0.32,126.0,3.19,0.62,12.0,5
1797,6.9,0.25,0.27,128.0,3.27,0.34,11.3,8
1798,6.8,0.23,0.29,173.0,3.06,0.41,8.7,6
1799,6.4,0.26,0.21,162.0,3.39,0.58,9.9,6
1800,7.6,0.3,0.22,191.0,3.08,0.4,9.3,6
1801,9.4,0.16,0.23,67.0,3.07,0.32,9.5,5
1802,6.8,0.23,0.29,173.0,3.06,0.41,8.7,6
1803,6.4,0.26,0.21,162.0,3.39,0.58,9.9,6
1804,7.6,0.3,0.22,191.0,3.08,0.4,9.3,6
1805,7.5,0.33,0.39,119.0,3.16,0.39,9.4,5
1806,7.6,0.38,0.2,116.0,3.15,0.41,9.4,5
1807,8.8,0.2,0.43,184.0,3.28,0.79,8.8,6
1808,7.5,0.33,0.39,119.0,3.16,0.39,9.4,5
1809,8.8,0.2,0.43,184.0,3.28,0.79,8.8,6
1810,6.6,0.36,0.21,184.0,3.18,0.41,9.9,6
1811,7.6,0.38,0.2,116.0,3.15,0.41,9.4,5
1812,5.6,0.46,0.24,72.0,3.29,0.37,12.6,6
1813,7.2,0.15,0.38,110.0,3.19,0.43,11.1,6
1814,8.2,0.42,0.29,100.0,3.0,0.32,12.8,7
1815,6.8,0.3,0.35,164.0,3.09,0.53,12.0,6
1816,6.7,0.27,0.3,131.0,3.36,0.5,12.0,7
1817,7.2,0.5,0.0,114.0,3.19,0.34,9.2,4
1818,6.0,0.26,0.29,96.0,3.38,0.44,12.3,6
1819,6.8,0.33,0.28,131.0,3.19,0.41,13.0,6
1820,6.8,0.3,0.35,164.0,3.09,0.53,12.0,6
1821,7.4,0.29,0.31,110.0,3.07,0.38,10.9,5
1822,8.2,0.42,0.29,100.0,3.0,0.32,12.8,7
1823,7.3,0.19,0.24,231.0,3.36,0.54,10.0,6
1824,6.5,0.32,0.12,165.0,3.22,0.32,9.0,5
1825,7.1,0.32,0.4,84.0,3.42,0.6,10.4,5
1826,6.5,0.32,0.12,165.0,3.22,0.32,9.0,5
1827,7.3,0.19,0.24,231.0,3.36,0.54,10.0,6
1828,7.3,0.17,0.23,240.0,3.36,0.54,10.0,6
1829,7.7,0.44,0.24,167.0,3.12,0.43,11.3,7
1830,7.7,0.44,0.24,167.0,3.12,0.43,11.3,7
1831,7.4,0.49,0.24,153.0,3.13,0.51,12.0,7
1832,7.7,0.44,0.24,167.0,3.12,0.43,11.3,7
1833,7.4,0.49,0.24,153.0,3.13,0.51,12.0,7
1834,6.4,0.21,0.3,160.0,3.6,0.41,10.6,6
1835,8.0,0.55,0.42,213.0,2.99,0.56,9.3,5
1836,7.0,0.19,0.23,104.0,3.04,0.54,9.4,6
1837,7.2,0.24,0.29,102.0,3.27,0.64,11.0,7
1838,6.5,0.34,0.36,247.0,3.44,0.55,9.3,6
1839,7.0,0.19,0.23,104.0,3.04,0.54,9.4,6
1840,6.9,0.18,0.33,164.0,3.42,0.51,10.5,5
1841,7.2,0.24,0.29,102.0,3.27,0.64,11.0,7
1842,8.2,0.18,0.31,249.0,3.07,0.52,9.5,6
1843,8.3,0.28,0.45,139.0,3.33,0.77,11.2,6
1844,6.1,0.34,0.46,94.0,3.29,0.62,12.3,6
1845,7.4,0.44,0.2,157.0,3.27,0.44,9.0,5
1846,7.6,0.26,0.58,180.0,3.07,0.38,9.0,5
1847,7.4,0.44,0.2,157.0,3.27,0.44,9.0,5
1848,8.7,0.49,0.57,243.0,2.98,0.82,9.0,5
1849,7.0,0.24,0.25,189.0,3.25,0.42,11.4,6
1850,7.1,0.25,0.25,181.0,3.2,0.42,11.0,7
1851,6.1,0.34,0.46,94.0,3.29,0.62,12.3,6
1852,6.4,0.18,0.31,127.0,3.6,0.67,10.4,7
1853,8.3,0.27,0.39,107.0,3.28,0.59,10.3,5
1854,6.8,0.24,0.35,172.0,3.29,0.55,10.5,7
1855,8.0,0.22,0.28,197.0,3.14,0.45,9.8,6
1856,10.0,0.91,0.42,181.0,3.11,0.46,10.0,4
1857,8.9,0.34,0.34,176.0,3.14,0.47,9.7,5
1858,8.9,0.33,0.34,171.0,3.13,0.47,9.7,5
1859,8.0,0.22,0.28,197.0,3.14,0.45,9.8,6
1860,6.7,0.18,0.19,161.0,3.32,0.66,10.5,6
1861,7.8,0.2,0.28,186.0,3.14,0.46,10.0,6
1862,7.3,0.13,0.31,104.0,3.24,0.92,11.5,7
1863,6.6,0.28,0.3,202.0,3.24,0.39,9.5,5
1864,7.1,0.25,0.3,122.0,3.43,0.61,10.5,6
1865,7.6,0.36,0.44,142.0,3.12,0.43,10.2,6
1866,7.6,0.27,0.25,199.0,3.34,0.5,9.8,6
1867,6.9,0.37,0.28,137.0,3.1,0.37,11.6,6
1868,7.4,0.21,0.27,144.0,3.15,0.38,11.8,7
1869,8.2,0.18,0.28,140.0,3.04,0.37,10.1,7
1870,6.3,0.19,0.21,163.0,3.31,0.5,10.3,6
1871,7.0,0.21,0.22,168.0,3.34,0.49,10.4,6
1872,5.8,0.33,0.2,166.0,3.09,0.46,8.9,5
1873,5.8,0.33,0.2,166.0,3.09,0.46,8.9,5
1874,7.9,0.29,0.31,154.0,3.06,0.31,10.8,5
1875,6.6,0.31,0.38,165.0,3.38,0.6,9.2,5
1876,8.0,0.19,0.3,140.0,3.18,0.49,9.6,6
1877,8.0,0.2,0.36,78.0,3.08,0.37,10.4,6
1878,8.0,0.25,0.26,248.0,3.03,0.57,8.7,6
1879,7.2,0.2,0.61,103.0,3.06,0.36,9.2,6
1880,7.7,0.3,0.42,213.0,3.18,0.63,9.2,5
1881,7.2,0.2,0.61,103.0,3.06,0.36,9.2,6
1882,7.7,0.3,0.42,213.0,3.18,0.63,9.2,5
1883,7.7,0.3,0.42,213.0,3.18,0.63,9.2,5
1884,6.4,0.22,0.32,124.0,3.4,0.39,10.2,5
1885,7.2,0.2,0.61,103.0,3.06,0.36,9.2,6
1886,7.0,0.53,0.02,107.0,3.2,0.32,9.0,5
1887,7.3,0.24,0.41,178.0,3.37,0.43,9.7,5
1888,7.2,0.24,0.4,185.0,3.34,0.42,9.6,5
1889,7.6,0.15,0.4,112.0,3.14,0.76,10.0,5
1890,7.7,0.3,0.42,213.0,3.18,0.63,9.2,5
1891,7.6,0.33,0.41,197.0,3.18,0.64,9.1,5
1892,6.8,0.24,0.31,142.0,3.3,0.41,8.7,5
1893,6.8,0.24,0.31,142.0,3.3,0.41,8.7,5
1894,6.8,0.35,0.44,161.0,3.14,0.44,9.5,5
1895,7.9,0.26,0.33,212.0,2.93,0.49,9.5,6
1896,7.5,0.29,0.67,166.0,2.9,0.41,8.9,6
1897,7.5,0.29,0.67,166.0,2.9,0.41,8.9,6
1898,7.2,0.31,0.41,89.0,3.29,0.64,9.9,6
1899,6.7,0.44,0.31,104.0,3.29,0.62,12.6,7
1900,10.0,0.23,0.27,166.0,2.72,0.43,9.7,6
1901,7.4,0.21,0.3,118.0,2.96,0.34,10.4,5
1902,8.8,0.23,0.35,183.0,2.93,0.49,9.1,6
1903,7.8,0.34,0.27,106.0,3.01,0.55,10.4,5
1904,7.9,0.26,0.33,212.0,2.93,0.49,9.5,6
1905,7.5,0.29,0.67,166.0,2.9,0.41,8.9,6
1906,6.0,0.28,0.35,120.0,3.16,0.69,10.6,5
1907,7.9,0.37,0.3,158.0,3.12,0.59,12.0,7
1908,7.2,0.36,0.36,98.0,2.93,0.59,12.5,7
1909,7.6,0.13,0.34,126.0,3.21,0.39,9.6,5
1910,6.6,0.25,0.36,180.0,3.08,0.42,9.2,5
1911,7.1,0.18,0.26,71.0,3.04,0.74,9.9,6
1912,7.9,0.3,0.27,112.0,2.96,0.46,11.7,6
1913,8.3,0.23,0.3,153.0,3.09,0.5,9.6,6
1914,6.8,0.43,0.3,135.0,3.0,0.37,12.0,6
1915,7.2,0.36,0.36,98.0,2.93,0.59,12.5,7
1916,6.6,0.25,0.36,180.0,3.08,0.42,9.2,5
1917,7.1,0.18,0.26,71.0,3.04,0.74,9.9,6
1918,6.6,0.35,0.29,177.0,3.17,0.58,8.9,6
1919,7.3,0.22,0.5,189.0,3.24,0.66,9.0,6
1920,8.1,0.26,0.33,158.0,3.03,0.49,10.2,7
1921,7.6,0.13,0.34,126.0,3.21,0.39,9.6,5
1922,7.0,0.12,0.19,127.0,3.29,0.41,9.4,5
1923,8.2,0.37,0.27,59.0,2.97,0.48,10.4,5
1924,7.6,0.26,0.36,106.0,3.15,0.4,10.4,4
1925,6.3,0.2,0.58,97.0,3.16,0.43,10.0,6
1926,6.3,0.22,0.57,96.0,3.16,0.43,10.0,6
1927,7.1,0.25,0.28,169.0,3.05,0.41,10.5,5
1928,7.0,0.27,0.32,193.0,3.23,0.39,11.4,6
1929,8.8,0.34,0.33,172.0,3.08,0.4,10.2,5
1930,9.2,0.27,0.34,228.0,3.04,0.41,10.4,6
1931,7.1,0.49,0.22,307.5,3.24,0.37,11.0,3
1932,9.2,0.71,0.23,93.0,2.89,0.34,10.1,6
1933,7.2,0.47,0.65,182.0,3.0,0.35,9.2,5
1934,6.8,0.28,0.36,87.0,3.23,0.66,10.3,6
1935,8.8,0.34,0.33,172.0,3.08,0.4,10.2,5
1936,9.2,0.27,0.34,228.0,3.04,0.41,10.4,6
1937,7.3,0.13,0.27,172.0,3.23,0.39,11.1,7
1938,7.2,0.16,0.35,84.0,3.33,0.34,9.9,5
1939,6.8,0.31,0.32,143.0,3.14,0.38,9.0,5
1940,8.3,0.36,0.57,256.0,2.93,0.64,8.6,5
1941,6.8,0.31,0.32,143.0,3.14,0.38,9.0,5
1942,8.3,0.36,0.57,256.0,2.93,0.64,8.6,5
1943,6.3,0.25,0.44,195.0,3.18,0.52,9.5,5
1944,6.0,0.45,0.42,197.0,3.02,0.4,9.0,5
1945,8.1,0.26,0.3,152.0,2.99,0.58,10.0,6
1946,6.4,0.22,0.32,158.0,3.6,0.43,9.0,6
1947,5.7,0.45,0.42,197.0,3.02,0.4,9.0,5
1948,7.2,0.19,0.31,135.0,3.34,0.57,10.2,7
1949,6.7,0.31,0.44,160.0,3.04,0.44,9.6,5
1950,8.0,0.25,0.13,219.0,2.96,0.46,9.7,5
1951,9.9,1.005,0.46,185.0,3.02,0.49,10.2,4
1952,8.1,0.31,0.36,142.0,3.01,0.34,13.0,7
1953,8.1,0.24,0.38,172.0,3.37,0.74,10.8,6
1954,8.0,0.25,0.13,219.0,2.96,0.46,9.7,5
1955,6.4,0.29,0.28,169.0,2.89,0.57,9.0,5
1956,7.2,0.15,0.33,63.0,3.37,0.4,9.9,5
1957,7.0,0.12,0.32,89.0,3.29,0.38,9.2,6
1958,7.4,0.32,0.55,238.0,2.96,0.58,8.7,6
1959,8.5,0.17,0.31,91.0,2.79,0.37,10.1,5
1960,8.5,0.17,0.31,91.0,2.79,0.37,10.1,5
1961,9.5,0.21,0.47,123.0,2.9,0.64,9.5,5
1962,8.2,0.21,0.48,99.0,3.17,0.57,9.9,5
1963,7.4,0.32,0.55,238.0,2.96,0.58,8.7,6
1964,6.8,0.31,0.42,173.0,3.19,0.46,9.0,5
1965,6.8,0.27,0.28,163.0,3.03,0.38,8.6,6
1966,7.4,0.21,0.3,114.0,3.12,0.35,10.5,6
1967,8.0,0.23,0.35,186.0,3.09,0.56,9.5,7
1968,7.6,0.2,0.31,142.0,3.43,0.53,10.1,6
1969,6.3,0.41,0.3,164.0,3.53,0.79,11.7,7
1970,8.3,0.49,0.43,116.0,3.23,0.47,10.7,6
1971,6.3,0.41,0.3,164.0,3.53,0.79,11.7,7
1972,7.6,0.2,0.26,133.0,3.15,0.42,9.2,5
1973,7.5,0.26,0.26,139.0,3.17,0.39,8.8,5
1974,7.5,0.26,0.26,139.0,3.17,0.39,8.8,5
1975,6.8,0.27,0.35,197.0,3.24,0.43,9.5,6
1976,6.8,0.28,0.37,208.0,3.57,0.55,10.2,5
1977,8.4,0.2,0.27,143.0,3.25,0.5,9.1,6
1978,7.9,0.33,0.26,103.0,3.19,0.54,10.5,6
1979,7.5,0.38,0.5,184.0,3.09,0.46,9.0,6
1980,7.6,0.2,0.3,212.5,3.14,0.46,8.9,8
1981,7.6,0.2,0.3,212.5,3.14,0.46,8.9,8
1982,7.6,0.2,0.3,212.5,3.14,0.46,8.9,8
1983,7.6,0.2,0.3,212.5,3.14,0.46,8.9,8
1984,7.6,0.2,0.3,212.5,3.14,0.46,8.9,8
1985,8.1,0.19,0.58,181.0,3.2,0.62,9.1,6
1986,7.6,0.16,0.41,151.0,3.2,0.53,10.1,6
1987,8.1,0.22,0.28,176.0,3.12,0.55,10.0,5
1988,8.0,0.22,0.32,201.0,3.11,0.53,9.5,6
1989,7.1,0.33,0.3,102.0,3.08,0.31,12.3,7
1990,6.4,0.43,0.27,110.0,3.24,0.52,9.1,4
1991,7.6,0.2,0.3,212.5,3.14,0.46,8.9,8
1992,7.0,0.12,0.28,103.0,3.5,0.44,9.6,5
1993,7.4,0.3,0.22,180.0,3.13,0.45,11.6,6
1994,7.0,0.28,0.33,168.0,3.34,0.67,8.8,6
1995,8.4,0.2,0.38,170.0,3.34,0.82,8.9,6
1996,7.0,0.28,0.33,168.0,3.34,0.67,8.8,6
1997,8.4,0.2,0.38,170.0,3.34,0.82,8.9,6
1998,8.4,0.2,0.38,170.0,3.34,0.82,8.9,6
1999,7.3,0.18,0.31,197.0,3.13,0.46,9.0,6
2000,6.8,0.31,0.09,145.0,3.19,0.46,10.0,5
2001,6.7,0.31,0.08,147.0,3.18,0.46,10.0,5
2002,7.6,0.17,0.35,154.0,3.36,0.69,11.1,6
2003,7.4,0.3,0.22,180.0,3.13,0.45,11.6,6
2004,7.4,0.26,0.31,178.0,3.42,0.68,10.6,6
2005,7.0,0.28,0.33,168.0,3.34,0.67,8.8,6
2006,8.4,0.2,0.38,170.0,3.34,0.82,8.9,6
2007,5.6,0.18,0.31,84.0,3.34,0.58,10.1,6
2008,7.2,0.15,0.39,159.0,3.52,0.47,10.0,5
2009,8.0,0.4,0.33,98.0,3.18,0.41,12.2,7
2010,7.0,0.25,0.56,95.0,3.23,0.53,11.0,6
2011,7.2,0.15,0.39,159.0,3.52,0.47,10.0,5
2012,6.8,0.18,0.46,160.0,3.37,0.45,11.1,5
2013,6.6,0.32,0.22,133.0,3.22,0.67,10.4,6
